,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_tot_points,B_tot_points,A_tot_goal,B_tot_goal,A_tot_con,B_tot_con
134,Bournemouth,Tottenham,2,3,1.0311533836856186,1.474822533439379,1.77632715710061,1.3900677178877765,1.2307692307692308,1.3076923076923077,1.2307692307692308,1.6153846153846154,1.3076923076923077,1.4615384615384615
135,Watford,Southampton,1,2,1.334633728458971,1.4552315280895087,1.645512797254856,1.3681490138930776,0.6153846153846154,0.6923076923076923,0.6153846153846154,1.0,2.0,2.3846153846153846
136,Arsenal,Norwich,2,2,1.4056167566843825,1.0817519401753282,1.4963769114339143,1.8099025839348004,1.3846153846153846,0.7692307692307693,1.3846153846153846,1.0,1.4615384615384615,2.1538461538461537
137,Sheffield United,Wolves,1,1,1.2446362455558688,1.5525680316180188,1.3009929656808388,1.1541692802367365,1.3846153846153846,1.4615384615384615,1.2307692307692308,1.3846153846153846,0.9230769230769231,1.2307692307692308
138,Aston Villa,Man Utd,2,2,1.1945100800758777,1.67406152256066,2.203943305585427,1.0400545479946643,1.0769230769230769,1.3076923076923077,1.4615384615384615,1.4615384615384615,1.5384615384615385,1.1538461538461537
139,Everton,Leicester,1,2,1.6109923762933152,1.7558259543917947,1.3458096112265405,1.3442246038181693,1.0769230769230769,2.230769230769231,1.0,2.3846153846153846,1.5384615384615385,0.6153846153846154
140,Bournemouth,Crystal Palace,0,1,1.080441330466941,0.9719433882797239,1.7907057279813556,1.4458274835280485,1.1428571428571428,1.2857142857142858,1.2857142857142858,0.9285714285714286,1.4285714285714286,1.2857142857142858
141,Man City,Burnley,4,1,2.628458892612258,1.21498375692327,1.0004329971190957,1.485668730285176,2.0714285714285716,1.2857142857142858,2.7857142857142856,1.4285714285714286,1.1428571428571428,1.4285714285714286
142,Tottenham,Man Utd,1,2,1.3782823975378644,1.6782041563083272,1.4664093441228618,1.0543038346102542,1.4285714285714286,1.2857142857142858,1.7142857142857142,1.5,1.5,1.2142857142857142
143,Watford,Leicester,0,2,1.3796270850567027,1.6846633792228793,1.6108058050527463,1.3605754267482397,0.5714285714285714,2.2857142857142856,0.6428571428571429,2.357142857142857,2.0,0.6428571428571429
144,Aston Villa,Chelsea,1,2,1.1619176568942975,1.928581023552771,2.2553849812256574,1.0495099671736734,1.0714285714285714,1.8571428571428572,1.5,2.0,1.5714285714285714,1.4285714285714286
145,Norwich,Southampton,1,2,1.0455986347839694,1.4735200462399125,1.8446974845526927,1.4214957825894978,0.7857142857142857,0.8571428571428571,1.0714285714285714,1.0714285714285714,2.142857142857143,2.2857142857142856
146,West Ham,Wolves,0,2,1.254038054732109,1.6697238765557874,1.8690375351498614,1.1297195386891699,1.1428571428571428,1.4285714285714286,1.2142857142857142,1.3571428571428572,1.6428571428571428,1.2142857142857142
147,Everton,Liverpool,2,5,1.6959403618204956,2.166809009148608,1.302424626179366,0.9208495444827651,1.0,2.857142857142857,1.0,2.2857142857142856,1.5714285714285714,0.8571428571428571
148,Newcastle United,Sheffield United,2,0,0.8344141959744611,1.2460602102515732,1.8021226184860404,1.2936384045060376,1.1428571428571428,1.3571428571428572,0.9285714285714286,1.2142857142857142,1.5714285714285714,0.9285714285714286
149,Brighton,Arsenal,2,1,1.3412782863388604,1.3795101079872096,1.5326490862992532,1.5700036475021504,1.0714285714285714,1.3571428571428572,1.1428571428571428,1.4285714285714286,1.5,1.5
150,Chelsea,Everton,1,3,1.9259507795673483,1.649555161632036,1.0395336270071933,1.2821369049538625,1.9333333333333333,0.9333333333333333,2.0,1.0666666666666667,1.4,1.8
151,Crystal Palace,Watford,0,0,0.9880140535109894,1.3989055320674826,1.4565056799385516,1.556620424244279,1.4,0.5333333333333333,0.9333333333333333,0.6,1.2,2.0
152,Liverpool,Bournemouth,3,0,2.145094597172216,1.118135265434495,0.9051653524556007,1.8448465526865476,2.8666666666666667,1.0666666666666667,2.466666666666667,1.2,0.9333333333333333,1.4
153,Burnley,Tottenham,0,5,1.3066610352311152,1.3978056251688953,1.4310470365209507,1.5367164297645737,1.2,1.3333333333333333,1.4,1.6666666666666667,1.6,1.5333333333333334
154,Man Utd,Man City,2,1,1.6819380990177835,2.5555409781757508,1.0649565365344573,1.0445019830174824,1.4,2.1333333333333333,1.5333333333333334,2.8666666666666667,1.2,1.1333333333333333
155,Leicester,Aston Villa,4,1,1.6956672516901168,1.155540421910744,1.374097405196058,2.2746639773330064,2.3333333333333335,1.0,2.3333333333333335,1.4666666666666666,0.6,1.6
156,Sheffield United,Norwich,2,1,1.2435508930155947,1.1032151268990482,1.366878439171394,1.8094663096749786,1.2666666666666666,0.7333333333333333,1.1333333333333333,1.0666666666666667,1.0,2.1333333333333333
157,Southampton,Newcastle United,1,2,1.41478171091868,0.9280787623042127,1.5045405593559642,1.7760382442146523,1.0,1.2666666666666666,1.1333333333333333,1.0,2.2,1.4666666666666666
