,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
76,Wolves,Man City,2,0,1.5044931360677083,2.782304473958333,1.2211752975260417,1.0201970669921874,4.7904296875,16.287825520833334,5.858333333333333,3.8720052083333334,12.948111979166665,7.810286458333334,12.300976562499999,22.83626302083333
77,Chelsea,Southampton,4,1,2.156037519140625,1.3556560610677084,1.1242949600260417,1.9622971787109371,8.034505208333332,5.057161458333333,5.203645833333334,9.073111979166667,10.779752604166667,10.114322916666666,14.72356770833333,10.325390625
78,Bournemouth,Arsenal,0,1,1.1783966177083334,1.4217313145833335,1.6015281585937502,1.5986661076822917,5.332682291666666,8.762174479166667,8.130143229166666,6.927669270833333,11.256380208333333,10.632682291666665,9.410091145833334,12.6431640625
79,Man Utd,Newcastle United,0,1,1.8596027709635417,0.8555329083333334,1.0368789219401042,1.7873047436197917,6.660937499999999,2.9136067708333337,3.884114583333333,10.063802083333332,11.183528645833334,26.10657552083333,10.874934895833333,6.372395833333334
80,West Ham,Everton,0,2,1.2529644855840774,1.5232967173549108,1.9040882965029762,1.288546705747768,7.639769345238095,7.4210007440476184,7.0186151413690485,5.611648995535715,9.61855933779762,8.68404017857143,11.52646484375,10.448349144345238
81,Burnley,Leicester,1,2,1.4856242642392115,2.0205458046679685,1.3425781519159226,0.9696699232514882,3.708658854166667,9.07441871279762,6.759556361607142,5.646823846726191,13.104110863095238,7.811430431547619,8.738248697916667,13.986397879464285
82,Norwich,Bournemouth,0,0,0.9327009507440476,1.0808997164434524,2.0387011152250745,1.6433570758370535,6.0529668898809526,5.308919270833333,9.24467075892857,8.62084728422619,11.538420758928572,13.166638764880952,9.388997395833334,10.30937034970238
83,Brighton,Aston Villa,1,2,1.28496521359747,1.3649484970889136,1.9254733067615324,1.9596208152994792,6.837569754464286,5.428436569940477,8.141080729166667,11.926985677083334,9.766062127976191,12.420126488095239,15.031812686011904,7.682486979166667
84,Newcastle United,Chelsea,0,1,0.8649926291666667,2.079372696344866,1.8035755476469493,1.1603696057384671,3.0626348586309526,8.960611979166666,10.344959077380953,4.974813988095238,27.45610584077381,9.938341703869048,6.27436755952381,14.457598586309523
85,Southampton,Wolves,1,1,1.4462827709914434,1.5760436263485864,1.811356451660156,1.1221454905598958,5.410221354166667,5.519684709821429,8.139318266369047,5.225595238095238,9.60615699404762,12.951818266369047,10.659291294642856,12.13662109375
