,round,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_ppg,B_ppg,A_gpg,B_gpg,A_cpg,B_cpg,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
47,5,Everton,Bournemouth,1,3,1.5353479166666668,1.343961,1.3929765833333334,1.8430212499999998,1.75,1.0,1.0,1.25,1.0,2.0,7.25,4.875,5.5625,10.854166666666666,9.833333333333334,13.291666666666668,14.145833333333334,6.604166666666666
48,5,Arsenal,Watford,2,2,1.6113849999999998,1.4803691666666667,1.8258805416666666,2.3558937916666665,1.75,0.25,1.5,0.5,1.5,2.0,9.270833333333334,7.666666666666666,7.979166666666666,7.166666666666667,12.875,16.854166666666668,9.354166666666666,15.354166666666668
49,5,West Ham,Aston Villa,0,0,1.322387916666667,1.548947875,1.6994616666666669,1.562400625,1.75,0.75,1.5,1.0,1.75,1.5,9.5,5.854166666666667,7.1875,10.020833333333334,11.770833333333334,9.166666666666666,12.6875,8.291666666666666
50,6,Bournemouth,Southampton,3,1,1.195923375,1.3594602760416667,1.5590643437499998,1.8240150651041667,1.4,1.4,1.6,1.0,1.8,1.2,5.140625,5.453125,9.622395833333332,7.0078125,12.755208333333334,8.90625,8.153645833333332,14.515625
51,6,Tottenham,Leicester,1,2,1.1918891927083335,1.5423634536458333,1.48845553125,1.2734467708333335,1.6,1.6,2.2,1.2,1.2,0.8,6.947916666666666,7.955729166666667,8.341145833333332,5.5234375,14.734375,6.838541666666667,11.25,13.830729166666666
52,6,Norwich,Burnley,0,2,1.0284874166666667,1.4752540364583335,2.472904796875,1.0680346979166666,1.2,1.0,1.8,1.2,2.4,1.4,7.807291666666666,4.411458333333334,9.244791666666666,6.674479166666666,10.078125,13.84375,10.026041666666668,8.513020833333332
53,6,Sheffield United,Everton,2,0,0.8729296614583333,1.5651869270833334,1.5875141536458333,1.2434147604166665,1.0,1.4,1.0,1.0,1.2,1.4,4.325520833333334,7.46875,7.393229166666666,5.3671875,14.236979166666668,9.979166666666668,10.364583333333334,13.127604166666668
54,6,Watford,Man City,0,8,1.1315310208333333,3.513428958333333,2.1595299427083328,1.1619192630208333,0.4,2.0,0.8,3.2,2.0,1.2,6.083333333333333,15.4296875,7.020833333333334,3.713541666666667,17.497395833333336,7.911458333333334,12.809895833333334,25.033854166666664
55,6,Brighton,Newcastle United,0,0,1.2974150729166667,0.5993476666666666,1.8971194322916665,1.5822385781250001,1.0,0.8,1.0,0.8,1.6,1.6,6.778645833333333,2.4609375,7.192708333333333,8.552083333333332,9.807291666666666,28.513020833333336,14.4921875,6.5625
56,6,Wolves,Crystal Palace,1,1,1.477574609375,1.3190324557291668,1.296175734375,1.6018929010416667,0.6,1.4,1.2,0.6,2.0,1.2,4.200520833333333,6.596354166666666,6.666666666666667,8.75,15.341145833333332,16.026041666666664,13.122395833333332,9.205729166666666
57,6,Man Utd,West Ham,0,2,1.712383671875,1.4399323020833334,0.8637687942708333,1.7357702083333333,1.6,1.6,1.6,1.2,0.8,1.4,5.770833333333333,8.6875,4.697916666666666,8.0390625,12.424479166666668,11.549479166666668,12.080729166666666,12.3515625
58,6,Aston Villa,Arsenal,2,3,1.673085015625,1.59542625,1.864175671875,1.5779644739583332,0.8,1.6,0.8,1.6,1.2,1.6,5.872395833333334,9.236979166666668,11.143229166666668,6.356770833333333,12.020833333333332,10.140625,8.130208333333332,11.809895833333332
59,6,Liverpool,Chelsea,2,1,1.999789583333333,2.214314265625,0.8629805239583335,1.0843695677083334,3.0,1.6,3.0,2.2,0.8,2.2,10.078125,7.880208333333333,3.1328125,4.145833333333334,7.080729166666667,10.7734375,21.635416666666668,13.442708333333332
60,7,Liverpool,Sheffield United,1,0,2.068821625,1.0855718953125,0.8756269715625,1.5254230382812501,3.0,1.3333333333333333,2.8333333333333335,1.1666666666666667,0.8333333333333334,1.0,10.7703125,4.89296875,3.41953125,6.453906249999999,8.072656250000001,14.313281250000001,21.571875000000002,10.528125000000001
61,7,West Ham,Bournemouth,2,2,1.4455881718750003,1.3255500375000002,1.8691391875000003,1.4823098093749998,1.8333333333333333,1.6666666666666667,1.3333333333333333,1.8333333333333333,1.1666666666666667,1.6666666666666667,9.618749999999999,5.7265625,7.73515625,8.960156249999999,9.89453125,11.279687500000001,11.71640625,9.538281249999999
62,7,Southampton,Tottenham,1,2,1.1691102484375,1.1143445734375002,2.0568555585937496,1.418734278125,1.1666666666666667,1.3333333333333333,1.0,2.0,1.5,1.3333333333333333,4.6078125,5.8531249999999995,9.807031250000001,8.20703125,10.215625,14.6609375,12.2640625,11.325
63,7,Burnley,Aston Villa,2,2,1.4016579328125,1.4557145140625,1.186908528125,1.8732641046875003,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.1666666666666667,1.5,4.0703125,4.68515625,6.20703125,11.228906250000001,13.059375,12.318749999999998,8.46171875,7.417187499999999
64,7,Norwich,Crystal Palace,0,2,0.9531080749999999,1.1808913101562502,2.3878153171875,1.6931513109375,1.0,1.3333333333333333,1.5,0.6666666666666666,2.3333333333333335,1.1666666666666667,7.726562499999999,6.13671875,9.4203125,8.975,9.8703125,16.123437499999998,10.0234375,8.38515625
65,7,Brighton,Chelsea,0,2,1.4249975656249998,2.4167778390625,2.0084076890624996,1.0683184109375,1.0,1.3333333333333333,0.8333333333333334,2.0,1.3333333333333333,2.1666666666666665,7.2007812499999995,8.4921875,7.473437499999999,4.1312500000000005,9.326562499999998,10.39609375,13.44296875,14.698437499999997
66,7,Watford,Wolves,0,2,1.26736311875,1.5151661484374999,1.5609449484374998,1.2179549609375,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.1666666666666667,3.0,1.8333333333333333,6.2749999999999995,4.680468749999999,6.91875,6.300000000000001,15.747656250000002,14.307031249999998,12.228906250000001,12.51015625
67,7,Man City,Everton,3,1,2.9832730625,1.6070422343750002,1.23383443671875,1.166839584375,2.1666666666666665,1.1666666666666667,4.0,0.8333333333333334,1.0,1.5,16.58671875,7.221875000000001,4.042187500000001,4.83046875,7.520312500000001,10.181250000000002,22.73046875,12.414843750000003
